business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
z5hRX3iJ5Ty_S38iG_WY3Q,Tanner Smiths,American,"'204 W 55th St New York, NY 10019'",40.76442,-73.98169,1993,4.5,2023-02-26 00:33:37.126421
zRXMvxUX_rOliKZPpkWi_g,Valerie,American,"'45 W 45th St between 5th & 6th Ave New York, NY 10036'",40.756326,-73.981117,601,4.5,2023-02-26 00:33:37.126448
C-8mGN7lt5rIraO5n-15ug,The Smith,American,"'956 2nd Ave New York, NY 10022'",40.755165,-73.967868,3072,4.0,2023-02-26 00:33:37.126461
MyQV4i518ZO4CLudtR8gLA,The Bar Room,American,"'117 E 60th St New York, NY 10022'",40.763409,-73.968449,595,4.0,2023-02-26 00:33:37.126471
6hKJePanmG9AxK4dfwgyyg,The Horny Ram,American,"'951 2nd Ave New York, NY 10022'",40.75528,-73.96857,695,4.0,2023-02-26 00:33:37.126482
SaYTVG7wHCMDBofHCgXPaA,Dutch Freds,American,"'307 W 47th St New York, NY 10036'",40.760835,-73.987823,1948,4.5,2023-02-26 00:33:37.126492
Rc1lxc5lSKJYd162JHNMfQ,Bea,American,"'403 W 43rd St New York, NY 10036'",40.7591968,-73.9923361,2811,4.0,2023-02-26 00:33:37.126503
mWS4umRg2AyykyAClMrIRw,The Penrose,American,"'1590 2nd Ave New York, NY 10028'",40.775427,-73.953115,1417,4.0,2023-02-26 00:33:37.126513
1LIptXhtDh58vAA-QPFL4w,Cask,American,"'167 E 33rd St New York, NY 10016'",40.745414,-73.979004,1463,4.0,2023-02-26 00:33:37.126523
veku2cg2qaV-7MxwhOMBmg,Judge Roy Bean Public House,American,"'38 W 56th St New York, NY 10019'",40.7629158108786,-73.9761248066812,855,4.5,2023-02-26 00:33:37.126533
tOn-wEQ06ScrgeU5Ljw7Gw,Alfie's,American,"'800 9th Ave New York, NY 10019'",40.765437,-73.987278,639,4.0,2023-02-26 00:33:37.126545
IOHaEgK1zDvUvB3SfKuGCw,Parker & Quinn,American,"'64 W 39th St New York, NY 10018'",40.752586217581296,-73.9850713153442,1593,4.0,2023-02-26 00:33:37.126555
cCesIqo-LQt0cRlZAnrAZQ,Friedman's,American,"'132 W 31st St New York, NY 10001'",40.74839,-73.99062,2816,4.0,2023-02-26 00:33:37.126566
JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,American,"'675 9th Ave New York, NY 10036'",40.76138,-73.99071,1375,4.0,2023-02-26 00:33:37.126575
