business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,Chinese,"'40 W 56th St New York, NY 10019'",40.76292,-73.976546,806,4.5,2023-02-26 00:32:02.755957
HduEOz0RSK91GDr8EoxELw,Shun Lee - 98th ST,Chinese,"'2596 Broadway New York, NY 10025'",40.79576833206957,-73.97059000000002,5,5.0,2023-02-26 00:32:02.755987
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,Chinese,"'215 W 85th St New York, NY 10024'",40.78752,-73.97647,695,4.0,2023-02-26 00:32:02.756000
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,Chinese,"'334 W 46th St New York, NY 10036'",40.76015,-73.9893699,1633,4.0,2023-02-26 00:32:02.756010
h0pRCiJDrCN7tm3VX5tILQ,CHILI,Chinese,"'13 E 37th St New York, NY 10016'",40.75002,-73.98215,582,4.5,2023-02-26 00:32:02.756021
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,Chinese,"'146 E 55th St New York, NY 10022'",40.7592514705491,-73.9694294705987,376,3.5,2023-02-26 00:32:02.756031
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,Chinese,"'48 W 48th St New York, NY 10036'",40.75809,-73.98026,189,4.5,2023-02-26 00:32:02.756042
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,Chinese,"'204E 58th St New York, NY 10022'",40.76063,-73.96664,363,3.5,2023-02-26 00:32:02.756051
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,Chinese,"'24 W 56th St New York, NY 10019'",40.76278,-73.97589,545,4.0,2023-02-26 00:32:02.756061
xq0cX_DgxiJMXwhmEl9kUA,Café China,Chinese,"'59 W 37th St New York, NY 10018'",40.75157,-73.98584,1857,4.0,2023-02-26 00:32:02.756070
