business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
DGhWO1sUWydVeR5j5ZZaMw,La Grande Boucherie,French,"'145 W 53rd St New York, NY 10019'",40.7626274,-73.98084109999999,2064,4.5,2023-02-26 00:33:15.104164
UPk0-eVCBdEieFlu9WeJAA,Vin Sur Vingt Bistro à Vins,French,"'230 E 51st St New York, NY 10022'",40.755755,-73.969142,5,5.0,2023-02-26 00:33:15.104189
ETgJqJHV7BW6pIr9Ox74sA,Amélie,French,"'22 W 8th St New York, NY 10011'",40.7327,-73.99766,2894,4.5,2023-02-26 00:33:15.104201
csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,French,"'163 East 33rd St New York, NY 10016'",40.7454079308793,-73.9791478306885,1045,4.0,2023-02-26 00:33:15.104213
FiRB9Ek3Xo9JHwXgBYITYg,La Sirene,French,"'558 Broome St New York, NY 10013'",40.7243642217227,-74.005708694458,1698,4.5,2023-02-26 00:33:15.104223
xQ445GaWVN5Aa3sFX9OoIg,Buvette,French,"'42 Grove St New York, NY 10014'",40.732704,-74.00434640955953,2084,4.0,2023-02-26 00:33:15.104233
KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,French,"'80 Spring St New York, NY 10012'",40.7226892950401,-73.9982149184027,3514,4.0,2023-02-26 00:33:15.104244
RQojRzAYA9Cq87PqwQq5yg,Deux Amis,French,"'356 E 51st St New York, NY 10022'",40.7544765,-73.9660238,209,4.0,2023-02-26 00:33:15.104254
8XHbZIKDQbXhyKIGiukVeQ,Boucherie Union Square,French,"'225 Park Ave S New York, NY 10003'",40.73725824850519,-73.9882252705524,1347,4.5,2023-02-26 00:33:15.104264
NMVRHrkdp68twl4CWo1I5A,Marseille,French,"'630 9th Ave New York, NY 10036'",40.7597589,-73.99142128424079,1107,4.0,2023-02-26 00:33:15.104274
TjsclSn2PbJ9AV3S4oiXUw,MaryLou,French,"'41 St Marks Pl New York, NY 10003'",40.7285,-73.98707,15,4.0,2023-02-26 00:33:15.104284
vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,French,"'155 W 51st St The Equitable Bldg New York, NY 10019'",40.761557,-73.981763,2832,4.5,2023-02-26 00:33:15.104293
3zbz9kLrLKHCBeGrNhMMGA,L'Accolade,French,"'302 Bleecker St New York, NY 10014'",40.732484,-74.003915,141,4.5,2023-02-26 00:33:15.104303
IYDOX3EelsDWW3kWeoE_Zw,La Brasserie,French,"'411 Park Ave S New York, NY 10016'",40.74362,-73.98365,43,4.0,2023-02-26 00:33:15.104312
4yZzQKtaPJxSAxNUO20JcA,Mino Brasserie,French,"'225 W 12th St New York, NY 10011'",40.73771,-74.00152,67,4.5,2023-02-26 00:33:15.104321
y2dSu-qwp1BmLfQRn_c-1Q,Bar Lula,French,"'132 1st Ave New York, NY 10009'",40.72743,-73.98521,45,4.5,2023-02-26 00:33:15.104330
kmcgUxWhwlbmC-FAMTEF2g,Cafe d’Alsace,French,"'1703 2nd Ave New York, NY 10128'",40.77942,-73.95084,1339,4.0,2023-02-26 00:33:15.104339
lu0XMmcPyFGvIgqRcbU_4g,Le Jardinier,French,"'610 Lexington Ave New York, NY 10022'",40.7582033,-73.9713074,54,4.0,2023-02-26 00:33:15.104349
7flJeg5Tnc06cQQ7jnBtxg,Barnea Bistro,French,"'211 E 46th St New York, NY 10017'",40.75314,-73.97179,60,4.5,2023-02-26 00:33:15.104358
ndd1BQLqFINytM4kbkCjgQ,La Bergamote,French,"'515 W 52nd St New York, NY 10019'",40.7663868,-73.9915846,413,4.0,2023-02-26 00:33:15.104367
OppTOs3uBwOG29yF45lb8A,Mister French,French,"'24 E 21st St New York, NY 10010'",40.7393774,-73.9889987,99,4.0,2023-02-26 00:33:15.104376
obFs12x7mgYPGxgalBd22w,Le Coucou,French,"'138 Lafayette St New York, NY 10013'",40.71909,-74.00013,669,4.0,2023-02-26 00:33:15.104385
HUEj_yVB1E2mNNxW5PqUtQ,Bistro Vendome,French,"'405 East 58th St New York, NY 10022'",40.7588875,-73.961963,182,4.0,2023-02-26 00:33:15.104394
iV-gnXSjT7vl71Z9pttVvw,La Bonne Soupe,French,"'48 W 55th St New York, NY 10019'",40.7624,-73.97694,154,4.0,2023-02-26 00:33:15.104403
s3jou_L_LVYGkNHiuhjlew,Boucherie West Village,French,"'99 7th Ave S New York, NY 10014'",40.733063,-74.0028772,2204,4.5,2023-02-26 00:33:15.104412
oyxtaqfFZkP_vC0M6GfkbA,Chez Napoleon,French,"'365 W 50th St New York, NY 10019'",40.763401615769176,-73.98839039938507,301,4.0,2023-02-26 00:33:15.104422
UJe9_p6NEl0kA6xHVo5PKw,Amelie,French,"'566 Amsterdam Ave New York, NY 10024'",40.78875,-73.97464,278,4.5,2023-02-26 00:33:15.104431
kHeakps7Gj8EaImiOYaX8g,Le French Diner,French,"'188 Orchard St New York, NY 10002'",40.7218274586187,-73.9879689992204,151,4.5,2023-02-26 00:33:15.104440
V3dHB6xAdd8_dH7t481PAw,Steak Frites Bistro,French,"'496 9th Ave New York, NY 10018'",40.755591,-73.994449,37,4.5,2023-02-26 00:33:15.104450
mqaSFe9PL_10NsCNnGSo_g,Narcisse,French,"'344 E 59th St New York, NY 10022'",40.75975,-73.96254,15,4.5,2023-02-26 00:33:15.104458
Gc7OVEIs4HodL4hw9U3C3w,Copinette,French,"'891 1st Ave New York, NY 10022'",40.75407,-73.96623,210,4.0,2023-02-26 00:33:15.104467
9f6chaCx20d1A0Abo6NzUw,Chateau 49 Bar A Vin,French,"'924 2nd Ave New York, NY 10022'",40.75428,-73.9687299,137,4.0,2023-02-26 00:33:15.104475
fSQ3CCtFSJ2S8VXDi02-3Q,Cafe Luxembourg,French,"'200 W 70th St New York, NY 10023'",40.77741,-73.98312,600,4.0,2023-02-26 00:33:15.104484
TGP5gbAgml0IDRLGCpFnCw,PMF Pardon My French,French,"'103 Ave B New York, NY 10009'",40.72473,-73.98115,1105,4.0,2023-02-26 00:33:15.104493
2P2yx60T04Te19tkRZE43w,Le Rock,French,"'45 Rockefeller Plz New York, NY 10111'",40.75917649953854,-73.97818621997159,39,4.5,2023-02-26 00:33:15.104503
KIIYvTOc0Uv90aUHEGvoSg,La Grenouille,French,"'3 E 52nd St New York, NY 10022'",40.75961,-73.97562,485,4.0,2023-02-26 00:33:15.104512
m9zYRZFubncaWsQFIfNo5g,Loulou Petit Bistro & Speakeasy,French,"'176 8th Ave New York, NY 10011'",40.742627091934104,-74.00005776653397,445,4.0,2023-02-26 00:33:15.104521
ZjU9qd-RR55cEEKufmdN5Q,Cathédrale Restaurant,French,"'112 E 11th St New York City, NY 10003'",40.731616260076336,-73.98947915459632,368,4.0,2023-02-26 00:33:15.104531
sBL7J7s4Rnul40-MB0hXbA,Perrine,French,"'2 E 61st Street At Fifth Ave Ground Floor New York City, NY 10065'",40.7653271962541,-73.97199900859833,111,4.0,2023-02-26 00:33:15.104542
A8zppFZvBDGUKRSUrzJWMg,Chez Josephine,French,"'414 W 42nd St New York, NY 10036'",40.758502,-73.993413,603,4.0,2023-02-26 00:33:15.104552
gtXP0CmOnBbgfnff7VXa7A,Pastis,French,"'52 Gansevoort St New York, NY 10014'",40.73928,-74.00695,456,4.0,2023-02-26 00:33:15.104561
bTyyPU8A4pz9dieLSZPMdA,Le Rivage,French,"'340 W 46th St New York, NY 10036'",40.760238,-73.98959,566,4.0,2023-02-26 00:33:15.104569
GVB1IA9h1BiGBsVorOR1Ww,Petite Maman,French,"'545 Madison Ave New York, NY 10022'",40.760552,-73.973223,4,4.0,2023-02-26 00:33:15.104578
R-biStUvl2zuhIQFk40GsQ,OCabanon,French,"'245 W 29th St New York, NY 10001'",40.7486725,-73.9945145,446,4.0,2023-02-26 00:33:15.104587
VaorFVboJxLfHIakSzGL6w,l’abeille,French,"'412 Greenwich St New York, NY 10013'",40.72188,-74.00995,40,4.0,2023-02-26 00:33:15.104595
cJREPXNhyznkLrKhjg9hoA,Tournesol,French,"'5012 Vernon Blvd Long Island City, NY 11101'",40.74239,-73.95451,464,4.0,2023-02-26 00:33:15.104604
28EoYA9TiHANksq662_3vQ,Lamonte,French,"'557 Driggs Ave Brooklyn, NY 11211'",40.71684,-73.95648,19,4.5,2023-02-26 00:33:15.104613
yvhhKv2CDjuJsC4ecG848g,Le Bilboquet,French,"'20 E 60th St New York, NY 10022'",40.76381,-73.97058,236,3.5,2023-02-26 00:33:15.104622
ykTc4pZYEAY0Esd0yVFSOQ,Vin Sur Vingt,French,"'66 W 84th St New York, NY 10024'",40.78492,-73.97291,68,4.5,2023-02-26 00:33:15.104630
tmzWZtu9Nimn7Hfas9XmcA,Quality Bistro,French,"'120 W 55th St New York, NY 10019'",40.76306,-73.9786,284,4.0,2023-02-26 00:33:15.104639
VpEy7E9fij06n7BRrzvEaw,Le Crocodile,French,"'80 Wythe Ave Brooklyn, NY 11249'",40.72191,-73.957873,195,4.5,2023-02-26 00:33:16.155136
dwNmZYx74kAjTsk1hTVtjw,Maman,French,"'114 W 41st St New York, NY 10036'",40.75446,-73.98554,82,4.0,2023-02-26 00:33:16.155166
8xYvp9j7j8RCRQGsiRRujQ,La Bergamote NYC,French,"'177 9th Ave New York, NY 10011'",40.745044,-74.002863,393,4.0,2023-02-26 00:33:16.155178
ILwCoB-PD8n9ObGk_sac0A,Recette,French,"'103 Havemeyer St Brooklyn, NY 11211'",40.71326399774355,-73.95637202012806,90,4.5,2023-02-26 00:33:16.155191
C6f_MQaRwIbJ8diailVaCA,L'Appart,French,"'225 Liberty St New York, NY 10281'",40.712708,-74.015919,135,5.0,2023-02-26 00:33:16.155202
IaKzW5PcmHGklEhAy_9hMQ,Le Gratin,French,"'5 Beekman St New York, NY 10038'",40.711440173909835,-74.0068285,38,4.0,2023-02-26 00:33:16.155213
_FlytyN_g4CjBL14JvrjBw,Manny's Bistro,French,"'225 Columbus Ave New York, NY 10023'",40.776204,-73.979266,53,4.0,2023-02-26 00:33:16.155223
0Q13lJ3OHXOuBVpN6jeTjw,Tartine,French,"'253 W 11th St New York, NY 10014'",40.7362899,-74.00344,1046,4.0,2023-02-26 00:33:16.155234
bqhBU_iyHpaLlq0WSc5Nkw,Jean Claude 2,French,"'1343 2nd Ave New York, NY 10021'",40.7680053710938,-73.9592895507812,193,4.0,2023-02-26 00:33:16.155374
CsZLG1VpdFAZiT_qRRmJ2A,Vin Sur Vingt,French,"'1140 Broadway New York, NY 10001'",40.743927,-73.9887,174,4.0,2023-02-26 00:33:16.155389
aTFkjo0scqmOgsFF5kuGXg,Claudette,French,"'24 5th Ave New York, NY 10011'",40.7331,-73.99596,494,4.0,2023-02-26 00:33:16.155399
iexl39DYyy_76Xq3ExaJkQ,Excuse My French,French,"'96 Orchard St New York, NY 10002'",40.718437,-73.989807,352,4.0,2023-02-26 00:33:16.155410
59dXrRQE3JVItSneV3a1bg,Le Veau D'or,French,"'129 E 60th St New York, NY 10022'",40.76316,-73.96814,97,3.5,2023-02-26 00:33:16.155420
fAPkN79fe7Gjq7A6fj6s9Q,Bistro Eloise,French,"'75-57 31st Ave East Elmhurst, NY 11370'",40.7587335,-73.8920429,274,4.5,2023-02-26 00:33:16.155430
nlmFAz_93gjSUfmvmv8Tog,Le Grainne Cafe,French,"'183 9th Ave New York, NY 10011'",40.7454064780449,-74.0024026704959,664,4.0,2023-02-26 00:33:16.155442
5XQgZQF-5N94bkQ2d_PJIQ,Pascalou,French,"'1308 Madison Ave New York, NY 10128'",40.78521,-73.95595,289,4.0,2023-02-26 00:33:16.155452
TQzGf4k3HXyMbnNkYKKQSw,Oxalis,French,"'791 Washington Ave Brooklyn, NY 11238'",40.673109,-73.9626279,229,4.5,2023-02-26 00:33:16.155462
mjGdtrh0tX7I91GM9dlMNg,MIMI,French,"'185 Sullivan St New York, NY 10012'",40.7283483,-74.0006612,170,4.0,2023-02-26 00:33:16.155473
gISZs8okQgFIpd-yz9aC4w,Café Henri,French,"'1010 50th Ave Long Island City, NY 11101'",40.742559,-73.953697,769,4.0,2023-02-26 00:33:16.155482
flcy6dNr4s12PTv6VtBK9Q,LĒNA,French,"'137 Eldridge St New York, NY 10002'",40.719135,-73.991758,214,4.5,2023-02-26 00:33:16.155493
nBkSqOhZMa1A7Yk3q8VPaA,Dirty French,French,"'180 Ludlow St Ludlow Hotel New York, NY 10002'",40.72183,-73.98719,722,4.0,2023-02-26 00:33:16.155505
dS2VNgvdLCAxImvcVBV6wA,Papillon Bistro & Bar,French,"'22 E 54th St New York, NY 10022'",40.760463700357,-73.9742553564245,494,3.5,2023-02-26 00:33:16.155516
lw4ZMgn-QBh_5W1ipNHjaw,La Goulue,French,"'29 E 61st St New York, NY 10065'",40.76482082282401,-73.9699213,127,3.5,2023-02-26 00:33:16.155528
CcxreLJbZsO6Z775-hMWpw,St Tropez West Village,French,"'304 W 4th St New York, NY 10014'",40.73704,-74.00386,257,4.5,2023-02-26 00:33:16.155538
jqTCCgP1P0qv-ouHWynTjQ,Angelina,French,"'1050 6th Ave New York, NY 10018'",40.75316,-73.98491,392,4.0,2023-02-26 00:33:16.155548
qOomR3AwClOGpV1HdqOTFg,Les Enfants de Boheme,French,"'177 Henry St New York, NY 10002'",40.7136187,-73.9888503,327,4.5,2023-02-26 00:33:16.155559
EaNRl3vlDOsNF-gkCR5mBA,La Sirène-UWS,French,"'416 Amsterdam Ave New York, NY 10024'",40.7838,-73.97806,118,4.0,2023-02-26 00:33:16.155569
844H9r0tRQZmxiEtjeTW0A,The Bar Room at The Modern,French,"'9 W 53rd St New York, NY 10019'",40.760943924003364,-73.97682308486881,547,4.0,2023-02-26 00:33:16.155581
-qxQDGZc8Ejz7MUFlFWyuQ,Francie,French,"'136 Broadway Brooklyn, NY 11249'",40.71002578663716,-73.96405744314846,153,4.5,2023-02-26 00:33:16.155593
uby3glEc0Brt9LAoCI0WTg,L’Express,French,"'249 Park Ave S New York, NY 10003'",40.738162056865,-73.987657,900,3.5,2023-02-26 00:33:16.155604
PXTzmqJW7gbK-IkfKBEnFw,Cafe Triskell,French,"'33-04 36th Ave Astoria, NY 11106'",40.7557027855819,-73.9280135680406,466,4.5,2023-02-26 00:33:16.155616
WoZnkXZInggzgQM_LbDpGg,Le Baratin,French,"'26 Greenwich Ave New York, NY 10011'",40.735025,-73.999857,249,4.0,2023-02-26 00:33:16.155627
-vBfKWJ1v9YdJQT5XUbcBQ,Le Botaniste,French,"'833 Lexington Ave New York, NY 10065'",40.7649986274526,-73.9659830279587,455,4.5,2023-02-26 00:33:16.155637
0Q3xCYWK2N-wJfXjLa9dFg,Bâtard,French,"'239 West Broadway New York, NY 10013'",40.71958,-74.00581,497,4.0,2023-02-26 00:33:16.155648
npWACY8WDDyYhMt0s3YFwQ,Vin Sur Vingt,French,"'100 Riverside Blvd New York, NY 10069'",40.7757,-73.98948,34,4.0,2023-02-26 00:33:16.155659
qEbQbYZxurnuVxDrNHQUJg,La Boite en Bois,French,"'75 W 68th St New York, NY 10023'",40.7749214172363,-73.9802398681641,261,3.5,2023-02-26 00:33:16.155670
g5f6p9jfzB30Mhcu6d5OWA,Petite Boucherie,French,"'14 Christopher St New York, NY 10014'",40.73382,-74.00042,255,4.5,2023-02-26 00:33:16.155680
aUakHsv3bAk6tDtLe96rIA,Lucien,French,"'14 1st Ave New York, NY 10009'",40.72339,-73.98817,464,3.5,2023-02-26 00:33:16.155690
mBZUWdasmua9XOsWy8xdWA,Jacques,French,"'206 E 85th St Ste 204 New York, NY 10028'",40.777824,-73.954143,254,3.5,2023-02-26 00:33:16.155700
XDMtYVpUQag-uay9DHMm9A,Quatorze,French,"'1578 1st Ave New York, NY 10028'",40.77433249323621,-73.9509927699736,84,4.0,2023-02-26 00:33:16.155712
7N6Jle8ovxzAiiwwtE77Yw,Le Pavillon,French,"'One Vanderbilt Ave New York, NY 10017'",40.75284533722524,-73.97848111104443,131,4.0,2023-02-26 00:33:16.155723
VMSlE-GQZhcvkp2Mr03xfA,L'ami Pierre,French,"'149 W 51st St New York, NY 10019'",40.761320187028105,-73.9815026,19,4.0,2023-02-26 00:33:16.155735
hD55NUiGDK7STQ8oy9QDPA,Le Monde,French,"'2885 Broadway New York, NY 10025'",40.8058021,-73.9658246,558,3.0,2023-02-26 00:33:16.155745
uUHLcZJPl6swgnopI2C8tw,Mila’s Bistro,French,"'81 Ludlow St New York, NY 10002'",40.718115,-73.989501,13,4.0,2023-02-26 00:33:16.155755
sHSCUGKAUR9gYThXlginkA,Bar Blondeau,French,"'80 Wythe Ave Ste 6 Brooklyn, NY 11249'",40.72208,-73.95785,45,4.0,2023-02-26 00:33:16.155766
pDwhlX9jNBGnjvyGR9jYWQ,Gabriel Kreuther,French,"'41 W 42nd St New York, NY 10036'",40.754546,-73.982556,593,4.5,2023-02-26 00:33:16.155776
BA6wd1pZTVu1DmrtiyTs8g,Raoul's Restaurant,French,"'180 Prince St New York, NY 10012'",40.72615,-74.00216,604,4.0,2023-02-26 00:33:16.155786
1DfbZ0VsSCg9g1KILmnvzQ,Per Se,French,"'10 Columbus Cir Fl 4 New York, NY 10019'",40.7681528889558,-73.9827629623657,1830,4.5,2023-02-26 00:33:16.155797
cHvd_fnNqbcR4EdyodzGzw,Koloman,French,"'16 W 29th St New York, NY 10001'",40.74569968921106,-73.9880941,53,4.5,2023-02-26 00:33:16.155808
I6optu9x0JAf8oT5lqJ8qw,The Blue Dog Cookhouse & Bar,French,"'308 W 50th St New York, NY 10019'",40.76244,-73.98674,1484,4.0,2023-02-26 00:33:16.155818
ZeKrSgDN0ksEp9TxiuezSg,46 Bistro,French,"'300 W 46th St New York, NY 10036'",40.75985,-73.98833,19,4.0,2023-02-26 00:33:16.772576
aS8QlNmESvm2ZLsE9D-c3g,Aunt Bernie's Bar and Jardin,French,"'513 3rd Ave New York, NY 10016'",40.74598,-73.97772,21,5.0,2023-02-26 00:33:16.772604
V69n3YrAs59GenGB2jLVrA,Orsay,French,"'1057 Lexington Ave New York, NY 10021'",40.772384,-73.960433,338,3.5,2023-02-26 00:33:16.772617
7oAoNCxii09pyqLx8kH8GA,Essential By Christophe,French,"'103 W 77th St New York, NY 10024'",40.78097128860562,-73.9766017,16,5.0,2023-02-26 00:33:16.772629
cCesIqo-LQt0cRlZAnrAZQ,Friedman's,French,"'132 W 31st St New York, NY 10001'",40.74839,-73.99062,2816,4.0,2023-02-26 00:33:16.772640
GBJOu9Rk4JqqWjB8ddYudw,La Mercerie,French,"'53 Howard St New York, NY 10013'",40.7202236743825,-74.0021909441629,325,3.5,2023-02-26 00:33:16.772651
xtfKAP7X36CCZrJm_Ta6Cg,The Consulate,French,"'519 Columbus Ave New York, NY 10024'",40.78586,-73.97242,251,4.0,2023-02-26 00:33:16.772661
qcvGRJT3QedXz7p3_CDmmA,Bel Ami,French,"'30 E 68th St New York, NY 10065'",40.7689753,-73.9670732,240,4.0,2023-02-26 00:33:16.772672
Bx9ufqCtxxdl2l6pT3J45g,Petrossian Boutique & Cafe,French,"'911 7th Ave New York, NY 10019'",40.766026225434,-73.97945224279856,366,4.0,2023-02-26 00:33:16.772682
3gtheZvv3Or0YzWXIl3SJg,Benoit,French,"'60 W 55th St New York, NY 10019'",40.7625640535871,-73.9772810679851,561,3.5,2023-02-26 00:33:16.772694
O64wSq9NvecPNPRkz38o8Q,Madame,French,"'390 4th St Jersey City, NJ 07302'",40.72473095928894,-74.05183738424924,250,4.0,2023-02-26 00:33:16.772705
RKpp5WskkZmOjpJtRlbY9g,Poulette - Midtown East,French,"'304 E 49th St New York, NY 10017'",40.75398,-73.96857,79,4.0,2023-02-26 00:33:16.772715
IVjpsmmsgc42k9K2RZR3Qg,Le Fond,French,"'105 Norman Ave Brooklyn, NY 11222'",40.7258415222168,-73.9511032104492,168,4.5,2023-02-26 00:33:16.772726
UJDb0M1eF4KkxJdCTh67cw,Shun,French,"'610 Lexington Ave New York, NY 10022'",40.7582033,-73.9713074,52,4.5,2023-02-26 00:33:16.772736
xGQ26ijvBi9DKVVG7DQOlA,Le Moulin a Cafe,French,"'1439 York Ave New York, NY 10075'",40.76981507188533,-73.9518785114284,395,4.0,2023-02-26 00:33:16.772747
6S62Z7e0UP82shutXERUzA,Cafe Du Soleil,French,"'2723 Broadway New York, NY 10025'",40.8000739,-73.9682123,549,3.5,2023-02-26 00:33:16.772830
q-QEwZi32JCnjb7zbY-PQw,Soogil,French,"'108 E 4th St New York, NY 10003'",40.72551,-73.98838,156,4.0,2023-02-26 00:33:16.772842
JP51QIvqSr9mTmuxyd5GMA,La Bohème,French,"'233 Clinton St Hoboken, NJ 07030'",40.74070351187905,-74.03451684924673,68,4.0,2023-02-26 00:33:16.772853
xN7JOFf3nBBDxvZ1M4Slbg,Barbès Restaurant,French,"'1300 Park Ave Hoboken, NJ 07030'",40.7529899,-74.02924,298,4.0,2023-02-26 00:33:16.772864
j69WHdRCVQTypfe7hQWauw,Brasserie Cognac East,French,"'963 Lexington Ave New York, NY 10021'",40.76911811325526,-73.96291345561302,150,3.5,2023-02-26 00:33:16.772876
U8bfgo6nmR6g6RbERK8ECg,Maison Close,French,"'15 Watts St New York, NY 10013'",40.72331,-74.00363,37,4.0,2023-02-26 00:33:16.772886
K_RLEEEkMmlis5hteYlYUQ,Majorelle,French,"'28 E 63rd St New York, NY 10065'",40.7657132,-73.9692137,87,4.5,2023-02-26 00:33:16.772896
npiIhpcWePbVT3JYEcy3zg,Wayan,French,"'20 Spring St New York, NY 10012'",40.7213813139202,-73.9950757664721,570,4.0,2023-02-26 00:33:16.772907
