business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,Italian,"'35 W 13th St New York, NY 10011'",40.736218,-73.99597,1823,4.5,2023-02-26 00:31:36.432931
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,Italian,"'3 Greenwich Ave New York, NY 10014'",40.733798036104304,-73.99977392649927,4041,4.5,2023-02-26 00:31:36.432985
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,Italian,"'106 E 60th St New York, NY 10022'",40.763174,-73.969046,284,4.5,2023-02-26 00:31:36.433007
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,Italian,"'254 West 47th St New York, NY 10036'",40.759876,-73.986767,2607,4.0,2023-02-26 00:31:36.433021
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,Italian,"'228 W 10th St New York, NY 10014'",40.73372,-74.00513,2239,4.5,2023-02-26 00:31:36.433035
vjubSxmdG_HoBBgd39geBw,Nino's 46,Italian,"'39 W 46th St New York, NY 10036'",40.7569046125342,-73.980516,1353,4.0,2023-02-26 00:31:36.433048
OAqsZMbjv66nOMqlimnYuQ,Uva,Italian,"'1486 2nd Ave New York, NY 10075'",40.77219299003591,-73.95561517222123,2703,4.0,2023-02-26 00:31:36.433062
OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,Italian,"'129 W 52nd St New York, NY 10019'",40.76189587672743,-73.9806749,69,4.5,2023-02-26 00:31:36.433075
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,Italian,"'200 W 44th St New York, NY 10036'",40.75749848725768,-73.98665333142026,4419,4.0,2023-02-26 00:31:36.433089
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,Italian,"'88 Madison Ave New York, NY 10016'",40.744509,-73.9856,2220,4.0,2023-02-26 00:31:36.433103
V3USzFEGhuoXez4G2Rk11A,Tavola,Italian,"'488 9th Ave New York, NY 10018'",40.755403,-73.994516,1234,4.0,2023-02-26 00:31:36.433115
AUifp6IDKzmorCM6vY2fug,Pepe Giallo,Italian,"'195 10th Ave New York, NY 10011'",40.7468940064083,-74.0049896784992,760,4.0,2023-02-26 00:31:36.433128
h37t9rA06Sr4EetJjKrfzw,Don Angie,Italian,"'103 Greenwich Ave New York, NY 10014'",40.73778,-74.00197,656,4.5,2023-02-26 00:31:36.433141
BPo5XByMdNiXK_i--gqiRA,Duomo51,Italian,"'25 W 51st St Fl 7 New York, NY 10019'",40.759979,-73.97824,14,4.5,2023-02-26 00:31:36.433153
WG639VkTjmK5dzydd1BBJA,Rubirosa,Italian,"'235 Mulberry St New York, NY 10012'",40.722766,-73.996233,2915,4.5,2023-02-26 00:31:36.433172
zRXMvxUX_rOliKZPpkWi_g,Valerie,Italian,"'45 W 45th St between 5th & 6th Ave New York, NY 10036'",40.756326,-73.981117,601,4.5,2023-02-26 00:31:36.433185
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,Italian,"'147 W 43rd St New York, NY 10036'",40.75641,-73.98547,2487,4.0,2023-02-26 00:31:36.433197
562aZEpTDdYKDe5hWuDyFA,La Gioconda,Italian,"'226 E 53rd St New York, NY 10022'",40.75716,-73.96833,194,4.0,2023-02-26 00:31:36.433209
hkooeEkd3oPsLD6JJrYpjA,Café Luce,Italian,"'235 E 53rd St New York, NY 10022'",40.757323,-73.967928,98,4.5,2023-02-26 00:31:36.433221
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,Italian,"'54 W 55th St New York, NY 10019'",40.762441,-73.977206,422,4.5,2023-02-26 00:31:36.433234
TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,Italian,"'143 East 49 St New York, NY 10017'",40.7556957079225,-73.9717184007168,326,4.0,2023-02-26 00:31:36.433247
LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,Italian,"'900 7th Ave New York, NY 10019'",40.76545990643915,-73.98053136970677,1159,4.0,2023-02-26 00:31:36.433260
dc3hkLkAqCSxDWQzrx-g9A,Quality Italian,Italian,"'57 W 57th St New York, NY 10019'",40.7644044527436,-73.9767805051616,1330,4.0,2023-02-26 00:31:36.433273
LkV96_buOU_n0br4SBO57w,Ci Siamo,Italian,"'440 West 33rd St Ste 100 New York, NY 10001'",40.75240549384363,-73.9982864846782,246,4.5,2023-02-26 00:31:36.433286
z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,Italian,"'145 E 47th St New York, NY 10017'",40.75433,-73.97277,754,4.5,2023-02-26 00:31:36.433299
TqNd-LKHuoYo1_mYwqiBFQ,Nonna Dora’s,Italian,"'606 2nd Ave New York, NY 10016'",40.74440176159688,-73.97634764480043,63,4.5,2023-02-26 00:31:36.433312
OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,Italian,"'136 Mulberry St New York, NY 10013'",40.718554,-73.997447,1336,4.0,2023-02-26 00:31:36.433325
3qIISjUYn1tbqHXi7nCLXg,Sofia Wine Bar,Italian,"'242 E 50th St New York, NY 10022'",40.75502,-73.96913,736,4.0,2023-02-26 00:31:36.433337
26emJlm1YMFyOCezfgVk4g,Da Raffaele,Italian,"'883 First Ave New York, NY 10022'",40.7535386913133,-73.9666010811925,218,4.5,2023-02-26 00:31:36.433350
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,Italian,"'370 W 51st St New York, NY 10019'",40.7637997047278,-73.9880919456482,982,4.0,2023-02-26 00:31:36.433363
Q1_UvNyONsaVS_VC1mD9Dw,Osteria Cotta,Italian,"'513 Columbus Ave New York, NY 10024'",40.78554,-73.97263,1032,4.0,2023-02-26 00:31:36.433375
dIyKvfhjtm3NuKrMVVt0TA,Lucciola Italian Restaurant,Italian,"'621 Amsterdam Ave New York, NY 10024'",40.790362,-73.972629,80,4.5,2023-02-26 00:31:36.433387
GjEE8vvjqb7eeHA3BGNxAw,Barolo East,Italian,"'214 E 49th St New York, NY 10017'",40.75481,-73.97059,247,4.5,2023-02-26 00:31:36.433400
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,Italian,"'129 MacDougal St New York, NY 10012'",40.73069,-74.00015,1633,4.0,2023-02-26 00:31:36.433412
8oO6j7AlnAbMSJs9Oj9GIw,Osteria Delbianco,Italian,"'22 East 49th St New York, NY 10017'",40.7573689002,-73.9764462233,171,4.5,2023-02-26 00:31:36.433425
nBy8KtcUHktPFKw-VClG1A,La Pecora Bianca,Italian,"'950 2nd Ave New York, NY 10022'",40.75495,-73.9682718,375,4.0,2023-02-26 00:31:36.433437
5F9kZPnAleDYqCeCyvGJPA,Bad Roman,Italian,"'10 Columbus Cir New York, NY 10019'",40.768494,-73.983072,12,4.5,2023-02-26 00:31:36.433449
