business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
wpT1QU7PSQgQQ1DkzI00JA,Izakaya Toribar,Japanese,"'164 E 56th St New York, NY 10022'",40.759641,-73.9685558,152,4.0,2023-02-26 00:32:51.043670
l_RAv09V67j-Hm9dyZxWhw,Tomi Jazz,Japanese,"'239 E 53rd St New York, NY 10022'",40.75725,-73.96774,702,4.5,2023-02-26 00:32:51.043694
d5vREOMISnwoYEWlDpPAvw,Mogmog,Japanese,"'5-35 51st Ave Long Island City, NY 11101'",40.74234254828357,-73.95525397259676,28,5.0,2023-02-26 00:32:51.043707
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,Japanese,"'306 E 46th St New York, NY 10017'",40.75202,-73.96977,470,4.5,2023-02-26 00:32:51.043718
axqp3pGJXnTLgq2QrPyDyQ,Benemon,Japanese,"'108 E 4th St New York, NY 10003'",40.72551,-73.98838,696,4.5,2023-02-26 00:32:51.043727
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,Japanese,"'342 E 6th St New York, NY 10003'",40.7264988089246,-73.9866526052356,1480,4.5,2023-02-26 00:32:51.043737
flHcoaHEWxACgc-Vk9MsOQ,Jukai,Japanese,"'237 E 53rd St New York, NY 10022'",40.75718,-73.9678837692742,183,4.0,2023-02-26 00:32:51.043747
hUf1EpnxbxFU4gf2nL7H-Q,Raku It's Japanese,Japanese,"'212 East 52nd St New York, NY 10022'",40.756591,-73.969306,173,4.5,2023-02-26 00:32:51.043757
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,Japanese,"'53 W 35th St New York, NY 10001'",40.750148,-73.9863203465939,2733,4.5,2023-02-26 00:32:51.043766
PkljF7EKWE5CfPD_zr3Jyg,Suram NYC,Japanese,"'483 10th Ave New York, NY 10018'",40.756492,-73.998173,7,4.5,2023-02-26 00:32:51.043776
9bAyxRD6RsGEUQw424ovQA,Nishida Sho-ten,Japanese,"'302 E 49th St New York, NY 10017'",40.753969,-73.968722,875,4.0,2023-02-26 00:32:51.043785
3QIFBLKp2Z9zA-PXlUEQlg,Okatte Tanto NY,Japanese,"'249 E 49th St New York, NY 10017'",40.75455,-73.96941,8,4.5,2023-02-26 00:32:51.043794
Q23LvHPuC9ajSbMEt8xoUw,Lucky Cat,Japanese,"'232 E 53rd St New York, NY 10022'",40.7570162692229,-73.9681779883895,417,4.0,2023-02-26 00:32:51.043804
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,Japanese,"'11 E 47th St New York, NY 10017'",40.75638,-73.97759,1541,4.0,2023-02-26 00:32:51.043813
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,Japanese,"'141 W 41st St New York, NY 10036'",40.75487,-73.98599,1064,4.0,2023-02-26 00:32:51.043822
5ZgCfc1_fotAKUp7n3YJkQ,Towa,Japanese,"'36 W 26th St New York, NY 10010'",40.7442,-73.99062,63,4.5,2023-02-26 00:32:51.043831
_F29-1dkiBmDPSaKQ9_O0Q,Hakata Tonton,Japanese,"'35 W 35th St New York, NY 10001'",40.749981,-73.985719,100,4.5,2023-02-26 00:32:51.043841
9QK3vhI04Q8ylqk49C3JcQ,Rule of Thirds,Japanese,"'171 Banker St Brooklyn, NY 11222'",40.7246328,-73.9551096,440,4.0,2023-02-26 00:32:51.043850
479rycCXZojMT9S0cl8Oxg,Yakiniku Gen,Japanese,"'250 E 52nd St New York, NY 10022'",40.75611,-73.96815,165,4.0,2023-02-26 00:32:51.043859
zHsK9YUH3lv8VlQEAPw6gA,Tabata,Japanese,"'1435 2nd Ave New York, NY 10021'",40.770684,-73.957302,2,5.0,2023-02-26 00:32:51.043868
v8y7NLCC25KY_lSbcs3UPA,Maison Kintaro,Japanese,"'401 W 24th St New York, NY 10011'",40.74746583338948,-74.00104785354299,39,4.5,2023-02-26 00:32:51.043878
7iY35991NhQ1AShJZCNZgA,Sakagura,Japanese,"'211 E 43rd St New York, NY 10017'",40.7516467024541,-73.9729489318165,1864,4.0,2023-02-26 00:32:51.043888
xFp3xSQ43J-i7nmJfNBsZA,Norikoh,Japanese,"'43 W 24th St New York, NY 10010'",40.7433,-73.99137,631,4.0,2023-02-26 00:32:51.043898
eQ4QUGvuHGBzsOrphsVc6A,Kimura,Japanese,"'31 St Marks Pl New York, NY 10003'",40.728995,-73.988279,327,4.5,2023-02-26 00:32:51.043907
Ms1p17KsYteDlkvHnllC2g,Soba Totto,Japanese,"'211 E 43rd St New York, NY 10017'",40.75142035952174,-73.97310626441747,931,4.0,2023-02-26 00:32:51.043916
Brs_MJhAXe60iMnlpeqkKA,Yakiniku West,Japanese,"'218 E 9th St New York, NY 10003'",40.72965099486931,-73.98855901656697,754,4.0,2023-02-26 00:32:51.043927
AudBWxeAr3zHr1ITrTcVpg,Izakaya Fuku,Japanese,"'71-28 Roosevelt Ave Jackson Heights, NY 11372'",40.74635,-73.89383,233,4.5,2023-02-26 00:32:51.043936
kwq1W0opBnOYKoUXWYyQ5g,Momokawa,Japanese,"'1466 1st Ave New York, NY 10075'",40.77047,-73.9537,223,4.0,2023-02-26 00:32:51.043946
kesYSgOJW5krU6L8n9qQ4Q,Ichibantei,Japanese,"'401 E 13th St New York, NY 10009'",40.73063,-73.98275,278,4.0,2023-02-26 00:32:51.043954
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,Japanese,"'251 W 55th St Fl 2 New York, NY 10019'",40.765375,-73.983114,1425,4.0,2023-02-26 00:32:51.043963
6lUsFj0KCao678o9L7QwUw,Hatsuhana,Japanese,"'17 E 48th St New York, NY 10017'",40.75703,-73.97692,1491,4.0,2023-02-26 00:32:51.043973
gDcpB3AnhXv9-NUf_3chEA,Daikanyama,Japanese,"'1000 3rd Ave New York, NY 10022'",40.762478,-73.967158,29,4.0,2023-02-26 00:32:51.043981
_FhKGcCbiYgtkXcCiwTAiA,Aburiya Kinnosuke,Japanese,"'213 E 45th St New York, NY 10017'",40.752583,-73.972274,800,4.0,2023-02-26 00:32:51.043991
w0muQDL21sXLI4JmMxvnzQ,The Office of Mr Moto,Japanese,"'120 Saint Marks Pl New York, NY 10009'",40.72682423372927,-73.984036,25,5.0,2023-02-26 00:32:51.044000
cT48RskMO_o35Ua0tlifyQ,Heno Heno,Japanese,"'358 W 46th St New York, NY 10036'",40.7605197,-73.99011170000001,57,4.5,2023-02-26 00:32:51.044011
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO - New York,Japanese,"'140 W Houston St New York, NY 10012'",40.7280299,-74.00167,1525,4.0,2023-02-26 00:32:51.044020
7OMGEtFWT6sdd9TVuoGqJQ,Okonomi,Japanese,"'150 Ainslie St Brooklyn, NY 11211'",40.712622,-73.9487843,509,4.5,2023-02-26 00:32:51.044030
VzstANC68PM1BbyOcDXEtw,Donburiya,Japanese,"'253 W 55th St New York, NY 10019'",40.76528,-73.98326,430,4.0,2023-02-26 00:32:51.044039
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,Japanese,"'251 W 72nd St New York, NY 10023'",40.779583,-73.983482,1978,4.0,2023-02-26 00:32:51.044048
LZg7F1_HSl3Nmwl54NQtqA,Taru,Japanese,"'30 W 53rd St New York, NY 10019'",40.76096,-73.97745,25,4.5,2023-02-26 00:32:51.044057
aK2ipD9K8-usBw_gkvvJuw,Nare Sushi,Japanese,"'115 E 57th St New York, NY 10022'",40.76143,-73.96992,393,4.0,2023-02-26 00:32:51.044065
qm1J_dPA5IHij1oAnoZwHw,nonono,Japanese,"'118 Madison Ave New York, NY 10016'",40.74545,-73.98499,1096,4.0,2023-02-26 00:32:51.044074
B8wHwGZCddRZ_T953FApxQ,Maki Kosaka,Japanese,"'55 W 19th St New York, NY 10011'",40.740322,-73.99379,99,4.5,2023-02-26 00:32:51.044083
8NVN6Nldm7AGoGaABBZMRw,Izakaya NoMad,Japanese,"'13 W 26th St New York, NY 10010'",40.74409,-73.98945,725,4.0,2023-02-26 00:32:51.044092
kLqCgM4T7NT78bDEC2-TFw,Kaiseki Room by Yamada,Japanese,"'145 W 53rd St New York, NY 10019'",40.76268,-73.98093,26,4.5,2023-02-26 00:32:51.044101
iGmQlzlI4g2ky8cogfDpnQ,SUGARFISH by sushi nozawa - Midtown East,Japanese,"'152 E 53rd St New York, NY 10022'",40.7579096,-73.9702782,90,4.5,2023-02-26 00:32:51.044111
MLBqYHtCwACXgmKxYTFq3g,KazuNori | The Original Hand Roll Bar,Japanese,"'157 E 53rd St Plaza Level The Hugh New York, NY 10022'",40.7580782,-73.96999889026759,52,4.5,2023-02-26 00:32:51.044121
lEH8EUPX3Zn_trHauIycYw,Aoi Kitchen,Japanese,"'320 E 6th St New York, NY 10003'",40.72683167,-73.98754333,207,4.5,2023-02-26 00:32:51.044132
OFfZUS-nu6NDnsWe1B2bUQ,Tonchin,Japanese,"'13 W 36th St New York, NY 10018'",40.7502727,-73.9844951,1818,4.5,2023-02-26 00:32:51.044141
X8yEmEDD9ZTkHoIRFqzcRw,Osamil,Japanese,"'5 West 31st St New York, NY 10001'",40.74697,-73.9864,612,4.5,2023-02-26 00:32:51.044150
J9UA6rzI5WW_cDGjwDnF5g,Tsuru Ton Tan,Japanese,"'21 E 16th St New York, NY 10003'",40.73678,-73.9910699,2256,4.0,2023-02-26 00:32:52.038219
_IkMfWpOkQXRZtJAYJUJIw,Hama Japanese Cuisine,Japanese,"'11 W 51st St New York, NY 10019'",40.7597846984863,-73.9776382446289,414,4.0,2023-02-26 00:32:52.038242
mESab-FqL5QqSVsnX72asQ,Zen Ramen & Sushi,Japanese,"'150 W 36th street New York, NY 10018'",40.75177475474212,-73.98897630211589,2531,4.5,2023-02-26 00:32:52.038254
i8ejDDR4COtukAAA1Ls5fw,Soba-ya,Japanese,"'229 E 9th St New York, NY 10003'",40.72965,-73.9878899,1542,4.0,2023-02-26 00:32:52.038263
cyOaoc0U6Trc0FZu6l14VQ,Sarashina Horii,Japanese,"'45 E 20th St New York, NY 10003'",40.73871,-73.98838,115,4.0,2023-02-26 00:32:52.038272
in1CBl2LwIFkLzAr55jyLQ,Suram,Japanese,"'21 W End Ave New York, NY 10023'",40.77269355987543,-73.98988286874018,53,4.5,2023-02-26 00:32:52.038281
aY8JCml1xlOg5a1BHn2DNQ,Tsukushi,Japanese,"'357 E 50th St New York, NY 10017'",40.75414,-73.96648,102,4.0,2023-02-26 00:32:52.038290
GrYs4dj4mseJ4ctu4KhR9Q,Ikebana Zen,Japanese,"'401 W 53rd St New York, NY 10019'",40.765627600651335,-73.98791686059982,108,4.5,2023-02-26 00:32:52.038384
J79s7qmQWz7Fj9-cIg1dhA,Hyotan nippon,Japanese,"'119 E 59th St New York, NY 10022'",40.7626266,-73.9687729,1,5.0,2023-02-26 00:32:52.038396
oyyubJoK0VZ2V3a5sVJULg,Natsumi,Japanese,"'226 W 50th St New York, NY 10019'",40.761673475325274,-73.98518550748527,935,4.0,2023-02-26 00:32:52.038406
OLSSJIp8pu5UlugTF7tuHA,Ootoya Chelsea,Japanese,"'8 W 18th St New York, NY 10011'",40.73881,-73.99279,1510,4.0,2023-02-26 00:32:52.038415
YoR6ouUwehLFnBQ7RAjPlw,Zawa Japanese,Japanese,"'354 E 66th St New York, NY 10065'",40.76397,-73.9592,146,4.5,2023-02-26 00:32:52.038423
Zz8FcsIrc5GpAUCdfdYGWw,MORU,Japanese,"'1629 Schlosser St Fort Lee, NJ 07024'",40.85028,-73.97033,23,4.5,2023-02-26 00:32:52.038432
VdAVjghEq_Zl-DDte0mjrw,ACRE,Japanese,"'64 Meserole Ave Brooklyn, NY 11222'",40.72633,-73.95471,88,4.5,2023-02-26 00:32:52.038440
D6ZEcG1FCZ18nekMWrhgMg,Wokuni,Japanese,"'327 Lexington Ave New York, NY 10016'",40.7492189,-73.9773529,372,4.0,2023-02-26 00:32:52.038448
icpLRhJ1jpBX1zBGkt7Xqg,Teppen Ramen,Japanese,"'159 E 55th St New York, NY 10022'",40.75929,-73.96879,547,4.5,2023-02-26 00:32:52.038456
NRJq2BNcbjqAyxUB_bw7gw,Momoya,Japanese,"'185 7th Ave New York, NY 10011'",40.7426255196333,-73.9966481924057,796,4.0,2023-02-26 00:32:52.038465
00knD0qT1obuq3cJ-lWcIw,Shinjuku Ramen,Japanese,"'58 W 56th St New York, NY 10019'",40.76326,-73.97706,81,4.5,2023-02-26 00:32:52.038474
eyjeP9CJZ_gYgeJFP_vtpQ,Karasu,Japanese,"'166 Dekalb Ave Walter's Brooklyn, NY 11217'",40.68937279085807,-73.9732461,111,4.0,2023-02-26 00:32:52.038482
O1XrvIq-6IlLunLYEjOiFQ,Kushi Kushi Yaki,Japanese,"'2 W 32nd St New York, NY 10001'",40.747266,-73.9861784,121,4.5,2023-02-26 00:32:52.038491
Ta1tudYs2rPuxo-Hcn7_NQ,Gosuke Akimitsu,Japanese,"'235 W 35th St New York, NY 10001'",40.7523,-73.99127,45,4.0,2023-02-26 00:32:52.038499
nOyivdUQpQ0aNHD4lRVxSg,Katsuya,Japanese,"'398 10th Ave New York, NY 10001'",40.7536552,-73.9996342,81,4.0,2023-02-26 00:32:52.038507
f48yzy50jQDH7X5xFAluOw,Tsukimi,Japanese,"'228 East 10th St New York, NY 10003'",40.72908,-73.98541,54,5.0,2023-02-26 00:32:52.038515
wm_tAP0ZoL877jWfOwM29Q,JoJi,Japanese,"'1 Vanderbilt Ave New York, NY 10017'",40.753022,-73.978485,6,4.5,2023-02-26 00:32:52.038523
kN3rkbjvqkY62CDRYUVz4g,Yopparai,Japanese,"'49 Clinton St Ground Floor New York, NY 10002'",40.71975013980203,-73.98488557728082,259,4.5,2023-02-26 00:32:52.038532
KHRrlw05_pv_fd8ntvS1xw,SUGARFISH by Sushi Nozawa - Midtown West,Japanese,"'210 W 56th St New York, NY 10019'",40.764976,-73.981655,235,4.0,2023-02-26 00:32:52.038541
aTzxrI2o3vH_HQkqeFszzg,Juban,Japanese,"'207 10th Ave New York, NY 10011'",40.74731,-74.00467,233,4.0,2023-02-26 00:32:52.038550
TBp9gdS6xEbSQqffVZ7iag,KazuNori  | The Original Hand Roll Bar,Japanese,"'15 W 28th St New York, NY 10001'",40.74519,-73.98824,1353,4.5,2023-02-26 00:32:52.038558
pGYovGGnxm0tMmkiQJPygA,Ume Williamsburg,Japanese,"'237 Kent Ave Brooklyn, NY 11249'",40.71657,-73.96559,417,4.0,2023-02-26 00:32:52.038566
P_UREWCQxEYVbBa-KW_Wew,EN Japanese Brasserie,Japanese,"'435 Hudson St New York, NY 10014'",40.7306,-74.00698,1345,4.0,2023-02-26 00:32:52.038574
7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,Japanese,"'231 E 9th St New York, NY 10003'",40.729564,-73.98786,751,4.0,2023-02-26 00:32:52.038596
1QBkR2jKEMYj5ACMUIx_bA,The Den,Japanese,"'428 Greenwich St New York, NY 10013'",40.722428,-74.009961,1,5.0,2023-02-26 00:32:52.038605
SxKvgnkMMZdhBJcxxKQnww,Nobu Fifty Seven,Japanese,"'40 W 57th St New York, NY 10019'",40.76371615273354,-73.97624989600685,1424,4.0,2023-02-26 00:32:52.038614
X83qWL5WPR-QWGXGQ8WP-Q,NR,Japanese,"'339 E 75th St New York, NY 10021'",40.770153,-73.954956,289,4.5,2023-02-26 00:32:52.038623
ax4INkzwL__-d_kGJfcA-w,Kaikagetsu NYC,Japanese,"'162 Orchard St New York, NY 10002'",40.72104,-73.98848,136,4.5,2023-02-26 00:32:52.038631
dEbI8l8o9mevbRdjANzsng,Prime Meat Rokko,Japanese,"'783 9th Ave New York, NY 10019'",40.76497010727244,-73.98807987570763,209,4.5,2023-02-26 00:32:52.038640
lSKEPxxTYxCN9oi6CXRmcQ,Kin Ramen,Japanese,"'129 W 56th St New York, NY 10019'",40.76435,-73.97904,206,4.5,2023-02-26 00:32:52.038649
Nbqzy3ea5_x2zXWkdWlUIQ,Sake Bar Hagi,Japanese,"'245 W 51st St New York, NY 10019'",40.762764505922895,-73.9849770740243,414,4.0,2023-02-26 00:32:52.038658
XOUhjDQ4nRn8-u-79MHFww,Kohoku-Ku Ramen,Japanese,"'709 9th Ave New York, NY 10019'",40.76265,-73.9899,202,4.5,2023-02-26 00:32:52.038667
_2V0as8DZDwVxAi3ZJ0JkA,Raku - It's Japanese II,Japanese,"'57 W 76th St New York, NY 10023'",40.779997,-73.976516,397,4.0,2023-02-26 00:32:52.038676
