business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
Xjswj531-FkRZPpcccU6kQ,Vida Verde,Mexican,"'248 W 55th St New York, NY 10019'",40.7649503286729,-73.9828372257363,1493,4.5,2023-02-26 00:32:26.870087
MaoCNdHni6MLjM9iYQqHcg,Frida Midtown,Mexican,"'214 E 52nd St New York, NY 10022'",40.756610894855896,-73.96919065816803,118,4.5,2023-02-26 00:32:26.870119
Wx6lMnEh7dCmX-9PQF1Ifw,Toloache 50,Mexican,"'251 West 50th St New York, NY 10012'",40.762227,-73.9856178382696,2220,4.0,2023-02-26 00:32:26.870133
6Ct7OeTRn4caY9g0swFBsw,La Contenta,Mexican,"'102 Norfolk St New York, NY 10002'",40.71873,-73.98691,886,4.5,2023-02-26 00:32:26.870145
_HxxUvRp-0FMH_RoEzG1TA,Barnacho,Mexican,"'937 2nd Ave New York, NY 10017'",40.75401583517405,-73.96886851277523,316,4.0,2023-02-26 00:32:26.870156
DFRpXRHjOHBxYHiuvwaEQQ,Rosa Mexicano,Mexican,"'61 Columbus Ave New York, NY 10023'",40.77115637915222,-73.9831131,1465,3.5,2023-02-26 00:32:26.870167
BsDu_kup3lJ2QHb-Botpeg,Covacha,Mexican,"'368 Columbus Ave New York, NY 10023'",40.78110489839311,-73.97644500326436,149,4.0,2023-02-26 00:32:26.870179
SOWmvC20kikJBoWE3TmppA,Rosa Mexicano,Mexican,"'251 E 52nd St New York, NY 10022'",40.75648947211715,-73.96785410691132,74,3.5,2023-02-26 00:32:26.870190
xGoSAOhQBNdJMJmPn7CMDQ,MEXiCUE,Mexican,"'1440 Broadway New York, NY 10018'",40.754109,-73.986015,663,4.0,2023-02-26 00:32:26.870202
WyiTT3VHjzowMnOnUpZ7TQ,Empellón,Mexican,"'510 Madison Ave New York, NY 10022'",40.75972,-73.97472,415,4.0,2023-02-26 00:32:26.870212
ihzI-4yGesoQuAoIocao8g,Tacuba Hell's Kitchen,Mexican,"'802 9th Ave New York, NY 10019'",40.76545,-73.98729,798,4.0,2023-02-26 00:32:26.870223
4UxmxAqehEIh7fYrzUEA7A,Tacovision,Mexican,"'244 E 53rd St New York, NY 10004'",40.7568200311153,-73.9678929001093,371,4.0,2023-02-26 00:32:26.870234
e7krRmyE5upHv2gsEOdR8w,Mayamezcal,Mexican,"'304 E 6th St New York, NY 10003'",40.72711,-73.98817,619,4.0,2023-02-26 00:32:26.870245
SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,Mexican,"'229 W 43rd St New York, NY 10036'",40.7575067,-73.9877717,2631,4.5,2023-02-26 00:32:26.870255
a2BkT6uUKDpzhLalkksJsg,Tacombi,Mexican,"'202 E 70th St New York, NY 10021'",40.768036983514506,-73.96119122060036,123,4.0,2023-02-26 00:32:26.870267
KDpFAWkLofuabBSpnNJY5A,Amor Loco,Mexican,"'134 W 46th St New York, NY 10036'",40.75797140479767,-73.98387478465575,88,4.0,2023-02-26 00:32:26.870277
Ahx8GsuAGUl8TgqCWP7uXw,Temerario,Mexican,"'198 8th Ave New York, NY 10011'",40.7434133400872,-73.9996277220286,367,4.0,2023-02-26 00:32:26.870289
IfIyjm4SfORGYPbaAWST3g,MEXiCUE,Mexican,"'225 5th Ave New York, NY 10010'",40.743617,-73.987867,658,4.0,2023-02-26 00:32:26.870299
dgaNriM1VdI2nGochhHE_g,Casa Enrique,Mexican,"'5-48 49th Ave Long Island City, NY 11101'",40.743404338358,-73.954350367693,1447,4.0,2023-02-26 00:32:26.870310
